Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PRS01,409.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
2,PRS02,409.762500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
3,PRS03,409.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
4,PRS04,409.787500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
5,PRS03,409.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
6,PRS03,409.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
7,PRS07,409.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
8,PRS08,409.837500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
9,PRS09,409.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
10,PRS10,409.862500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
11,PRS11,409.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
12,PRS12,409.887500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
13,PRS13,409.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
14,PRS14,409.912500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
15,PRS15,409.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
16,PRS16,409.937500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
17,PRS17,409.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
18,PRS18,409.962500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
19,PRS19,409.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
20,PRS20,409.987500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,1.0W,,,,,
